"","x"
"475","1903 Harry Aubrey"
"476","1903 Harry Bemis"
"477","1903 Harry Berte"
"478","1903 Harry Clark"
"479","1903 Harry Davis"
"480","1903 Harry Gleason"
"481","1903 Harry Howell"
"482","1903 Harry Smith"
"483","1903 Harry Steinfeldt"
"484","1903 Harry Wolverton"
"485","1903 Heinie Peitz"
"486","1903 Herman Long"
"487","1903 Hobe Ferris"
"488","1903 Honus Wagner"
"489","1903 Hughie Hearne"
"490","1903 Hunter Hill"
"491","1903 Jack Burns"
"492","1903 Jack Coveney"
"493","1903 Jack Doyle"
"494","1903 Jack Dunn"
"495","1903 Jack Morrissey"
"496","1903 Jack O'Brien"
"497","1903 Jack O'Connor"
"498","1903 Jack O'Neill"
"499","1903 Jack Ryan"
"500","1903 Jack Slattery"
"501","1903 Jack Taylor"
"502","1903 Jack Thoney"
"503","1903 Jack Warner"
"504","1903 Jack Zalusky"
"505","1903 Jake Beckley"
"506","1903 Jake Stahl"
"507","1903 James Casey"
"508","1903 Jim Cook"
"509","1903 Jim Hackett"
"510","1903 Jimmy Burke"
"511","1903 Jimmy Callahan"
"512","1903 Jimmy Collins"
"513","1903 Jimmy Williams"
"514","1903 Joe Kelley"
"515","1903 Joe Marshall"
"516","1903 Joe Martin"
"517","1903 Joe Stanley"
"518","1903 Joe Sugden"
"519","1903 Joe Tinker"
"520","1903 Joe Yeager"
"521","1903 John Anderson"
"522","1903 John Barry"
"523","1903 John Farrell"
"524","1903 John Ganzel"
"525","1903 John Gochnaur"
"526","1903 John Kalahan"
"527","1903 John McGraw"
"528","1903 John Menefee"
"529","1903 John Murphy"
"530","1903 John Walsh"
"531","1903 Johnny Evers"
"532","1903 Johnny Kling"
"533","1903 Kid Elberfeld"
"534","1903 Kid Gleason"
"535","1903 Kip Selbach"
"536","1903 Kitty Bransfield"
"537","1903 Klondike Douglass"
"538","1903 Larry McLean"
"539","1903 Lave Cross"
"540","1903 Lee DeMontreville"
"541","1903 Lee Fohl"
"542","1903 Lee Tannehill"
"543","1903 Lefty Davis"
"544","1903 Lew Drill"
"545","1903 Lew Ritter"
"546","1903 Lon Ury"
"547","1903 Lou Criger"
"548","1903 Malachi Kittridge"
"549","1903 Matt Broderick"
"550","1903 Mike Donlin"
"551","1903 Mike Kahoe"
"552","1903 Monte Beville"
"553","1903 Monte Cross"
"554","1903 Nap Lajoie"
"555","1903 Ossee Schrecongost"
"556","1903 Otto Krueger"
"557","1903 Otto Williams"
"558","1903 Owen Shannon"
"559","1903 Paddy Greene"
"560","1903 Pat Carney"
"561","1903 Pat Deisel"
"562","1903 Pat McCauley"
"563","1903 Pat Moran"
"564","1903 Red Dooin"
"565","1903 Roger Bresnahan"
"566","1903 Roy Brashear"
"567","1903 Rudy Hulswitt"
"568","1903 Sam Mertes"
"569","1903 Sammy Strang"
"570","1903 Scoops Carey"
"571","1903 Simon Nicholls"
"572","1903 Socks Seybold"
"573","1903 Sport McAllister"
"574","1903 Tim Flood"
"575","1903 Tim Jordan"
"576","1903 Tom Daly"
"577","1903 Tommy Corcoran"
"578","1903 Tommy Leach"
"579","1903 Tommy Raub"
"580","1903 Vic Willis"
"581","1903 Wid Conroy"
"582","1903 William Clarke"
"583","1903 Willie Keeler"
"584","1904 Addie Joss"
"585","1904 Admiral Schlei"
"586","1904 Aleck Smith"
"587","1904 Andy Sullivan"
"588","1904 Art Devlin"
"589","1904 Barry McCormick"
"590","1904 Bill Bergen"
"591","1904 Bill Bradley"
"592","1904 Bill Byers"
"593","1904 Bill Coughlin"
"594","1904 Bill Dahlen"
"595","1904 Bill Donovan"
"596","1904 Bill Lauterborn"
"597","1904 Bill O'Neill"
"598","1904 Bill Reidy"
"599","1904 Bill Schwartz"
"600","1904 Billy Gilbert"
"601","1904 Billy Sullivan"
"602","1904 Bob Hall"
"603","1904 Bob Unglaub"
"604","1904 Bob Wood"
"605","1904 Bobby Lowe"
"606","1904 Bobby Wallace"
"607","1904 Butch Rementer"
"608","1904 Champ Osteen"
"609","1904 Charles Moran"
"610","1904 Charley O'Leary"
"611","1904 Charlie Babb"
"612","1904 Charlie Carr"
"613","1904 Charlie Hemphill"
"614","1904 Charlie Hickman"
"615","1904 Charlie Loudenslager"
"616","1904 Charlie Swindells"
"617","1904 Chick Fraser"
"618","1904 Claude Berry"
"619","1904 Claude Ritchey"
"620","1904 Clyde Robinson"
"621","1904 Cozy Dolan"
"622","1904 Dan Brouthers"
"623","1904 Dan McGann"
"624","1904 Danny Murphy"
"625","1904 Danny Shay"
"626","1904 Dave Brain"
"627","1904 Dave Zearfoss"
"628","1904 Deacon McGuire"
"629","1904 Dick Padden"
"630","1904 Doc Gessler"
"631","1904 Doc Marshall"
"632","1904 Doc Powers"
"633","1904 Duff Cooley"
"634","1904 Duke Farrell"
"635","1904 Dutch Jordan"
"636","1904 Ed Abbaticchio"
"637","1904 Ed Gremminger"
"638","1904 Ed McFarland"
"639","1904 Ed Phelps"
"640","1904 Elmer Flick"
"641","1904 Emil Batch"
"642","1904 Ernie Diehl"
"643","1904 Frank Bowerman"
"644","1904 Frank Chance"
"645","1904 Frank Corridon"
"646","1904 Frank Dillon"
"647","1904 Frank Isbell"
"648","1904 Frank McManus"
"649","1904 Frank Roth"
"650","1904 Fred Abbott"
"651","1904 Fred Carisch"
"652","1904 Fred Holmes"
"653","1904 Fred Jacklitsch"
"654","1904 Fred Mitchell"
"655","1904 Fred Odwell"
"656","1904 Fred Raymer"
"657","1904 Fred Tenney"
"658","1904 Freddy Parent"
